"Region";"Befolkning 1. januar 2022"
"K_1506 Molde";32002
"K_1507 Ålesund";67114
"K_1511 Vanylven";3045
"K_1514 Sande";2422
"K_1515 Herøy (Møre og Romsdal)";8765
"K_1516 Ulstein";8557
"K_1517 Hareid";5126
"K_1520 Ørsta";10833
"K_1525 Stranda";4467
"K_1528 Sykkylven";7558
"K_1531 Sula";9547
"K_1532 Giske";8597
"K_1535 Vestnes";6936
"K_1539 Rauma";7019
"K_1547 Aukra";3518
"K_1554 Averøy";5828
"K_1557 Gjemnes";2669
"K_1560 Tingvoll";2960
"K_1563 Sunndal";6932
"K_1566 Surnadal";5849
"K_1573 Smøla";2120
"K_1576 Aure";3384
"K_1577 Volda";10809
"K_1578 Fjord";2491
"K_1579 Hustadvika";13287
"K_5001 Trondheim";210496
"K_5006 Steinkjer";24004
"K_5007 Namsos";15001
"K_5014 Frøya";5265
"K_5020 Osen";904
"K_5021 Oppdal";7066
"K_5022 Rennebu";2443
"K_5025 Røros";5572
"K_5026 Holtålen";1953
"K_5027 Midtre Gauldal";6120
"K_5028 Melhus";17123
"K_5029 Skaun";8360
"K_5031 Malvik";14425
"K_5032 Selbu";4090
"K_5033 Tydal";750
"K_5034 Meråker";2399
"K_5035 Stjørdal";24287
"K_5036 Frosta";2608
"K_5037 Levanger";20171
"K_5038 Verdal";14955
"K_5041 Snåase - Snåsa";2033
"K_5042 Lierne";1309
"K_5043 Raarvihke - Røyrvik";441
"K_5044 Namsskogan";818
"K_5045 Grong";2287
"K_5046 Høylandet";1193
"K_5047 Overhalla";3817
"K_5049 Flatanger";1101
"K_5052 Leka";570
"K_5053 Inderøy";6794
"K_5054 Indre Fosen";9899
"K_5055 Heim";5884
"K_5056 Hitra";5156
"K_5057 Ørland";10371
"K_5058 Åfjord";4252
"K_5059 Orkland";18502
"K_5060 Nærøysund";9732
"K_5061 Rindal";1980
"K_1804 Bodø";52803
"K_1806 Narvik";21530
"K_1811 Bindal";1406
"K_1812 Sømna";1981
"K_1813 Brønnøy";7777
"K_1815 Vega";1175
"K_1816 Vevelstad";462
"K_1818 Herøy (Nordland)";1825
"K_1820 Alstahaug";7333
"K_1822 Leirfjord";2257
"K_1824 Vefsn";13233
"K_1825 Grane";1461
"K_1826 Hattfjelldal";1273
"K_1827 Dønna";1369
"K_1828 Nesna";1698
"K_1832 Hemnes";4420
"K_1833 Rana";26092
"K_1834 Lurøy";1869
"K_1835 Træna";450
"K_1836 Rødøy";1153
"K_1837 Meløy";6214
"K_1838 Gildeskål";1894
"K_1839 Beiarn";1012
"K_1840 Saltdal";4617
"K_1841 Fauske - Fuossko";9603
"K_1845 Sørfold";1869
"K_1848 Steigen";2591
"K_1851 Lødingen";1976
"K_1853 Evenes - Evenássi";1334
"K_1856 Røst";469
"K_1857 Værøy";678
"K_1859 Flakstad";1216
"K_1860 Vestvågøy";11566
"K_1865 Vågan";9724
"K_1866 Hadsel";8107
"K_1867 Bø";2565
"K_1868 Øksnes";4458
"K_1870 Sortland - Suortá";10468
"K_1871 Andøy";4572
"K_1874 Moskenes";982
"K_1875 Hamarøy";2708
"K_5401 Tromsø";77544
"K_5402 Harstad";24804
"K_5403 Alta";21144
"K_5404 Vardø";1897
"K_5405 Vadsø";5568
"K_5406 Hammerfest";11274
"K_5411 Kvæfjord";2789
"K_5412 Tjeldsund";4201
"K_5413 Ibestad";1289
"K_5414 Gratangen";1070
"K_5415 Loabák - Lavangen";970
"K_5416 Bardu";3993
"K_5417 Salangen";2087
"K_5418 Målselv";6599
"K_5419 Sørreisa";3414
"K_5420 Dyrøy";1068
"K_5421 Senja";14738
"K_5422 Balsfjord";5576
"K_5423 Karlsøy";2179
"K_5424 Lyngen";2729
"K_5425 Storfjord - Omasvuotna - Omasvuono";1836
"K_5426 Gáivuotna - Kåfjord - Kaivuono";2012
"K_5427 Skjervøy";2804
"K_5428 Nordreisa";4746
"K_5429 Kvænangen";1159
"K_5430 Guovdageaidnu - Kautokeino";2877
"K_5432 Loppa";859
"K_5433 Hasvik";964
"K_5434 Måsøy";1162
"K_5435 Nordkapp";2947
"K_5436 Porsanger - Porsángu - Porsanki ";3904
"K_5437 Kárásjohka - Karasjok";2584
"K_5438 Lebesby";1221
"K_5439 Gamvik";1057
"K_5440 Berlevåg";906
"K_5441 Deatnu - Tana";2821
"K_5442 Unjárga - Nesseby";854
"K_5443 Båtsfjord";2165
"K_5444 Sør-Varanger";9925
"K_21-22 Svalbard og Jan Mayen";0
"K_23 Kontinentalsokkelen";0
"K_25-26 Utlandet og havområder";0
"K_Rest Delte kommuner og uoppgitt";0
